05.png, 4.889, 0.526, 0.012, 0.011, 0.0, 0.0, 0.091, 0.182, 0.1, 0.8, 0.1, 0.02, 0.96, 0.2, 0.8, 0, 0.02, 0.96
06.png, 2.222, 0.842, 0.042, 0.0228, 0.001, 0.001, 0.0571, 0.0571, 0.01, 0.98, 0.01, 0.2675, 0.465, 0.2, 0.8, 0, 0.2, 0.6
09.png, 0.167, 0.474, 0.28, 0.18, 0.001, 0.014, 0.097, 0.194, 0.106, 0.708, 0.186, 0.1575, 0.685, 0.106, 0.894, 0, 0.079, 0.842
10.png, 1.056, 1.263, 0.199, 0.04, 0.001, 0.014, 0.04, 0.24, 0.05, 0.9, 0.05, 0.05, 0.9, 0.2, 0.8, 0, 0.11, 0.78
11.png, 0.222, 0.684, 0.151, 0.17, 0.001, 0.001, 0.071, 0.071, 0.1, 0.8, 0.1, 0.05, 0.9, 0.15, 0.85, 0, 0.05, 0.9
15.png, 0, 0.158, 0.605, 0.393, 0.001, 0.05, 0.23, 0.23, 0.156, 0.58, 0.264, 0.16, 0.68, 0.216, 0.51, 0.274, 0.16, 0.68
19.png, 0.167, 0.263, 0.255, 0.1843, 0.0067, 0.015, 0.168, 0.168, 0.056, 0.888, 0.056, 0.0875, 0.825, 0.056, 0.944, 0, 0.0875, 0.825
22.png, 0.222, 0.211, 0.215, 0.159, 0.001, 0.041, 0.23, 0.46, 0.316, 0.418, 0.266, 0.005, 0.99, 0.3, 0.7, 0, 0.05, 0.9
24.png, 0.111, 0.526, 0.335, 0.2305, 0.001, 0.002, 0.091, 0.091, 0.226, 0.418, 0.356, 0.01, 0.98, 0.225, 0.775, 0, 0.0175, 0.965
26.png, 0.611, 0, 0.155, 0.071, 0.001, 0.389, 0.221, 0.221, 0.12, 0.64, 0.24, 0.155, 0.69, 0.2, 0.8, 0, 0.235, 0.53
28.png, 0, 0.316, 0.765, 0.235, 0.001, 0.048, 0.129, 0.129, 0.396, 0.508, 0.096, 0.3595, 0.281, 0.1, 0.9, 0, 0.2795, 0.441
29.png, 0.222, 1.263, 0.208, 0.158, 0.001, 0.001, 0.0393, 0.0393, 0.156, 0.508, 0.336, 0.2795, 0.441, 0.25, 0.75, 0, 0.2795, 0.441
30.png, 0.722, 0.211, 0.068, 0.0664, 0.001, 0.02, 0.048, 0.192, 0.306, 0.378, 0.316, 0.01, 0.98, 0.05, 0.95, 0, 0.1, 0.8
35.png, 0.389, 0.316, 0.149, 0.106, 0.001, 0.01, 0.141, 0.141, 0.186, 0.698, 0.116, 0.0295, 0.941, 0.16, 0.84, 0, 0.0295, 0.941
37.png, 0.222, 0.737, 0.228, 0.144, 0.051, 0.028, 0.063, 0.252, 0.345, 0.339, 0.316, 0.01, 0.98, 0.22, 0.78, 0, 0.075, 0.85
39.png, 0, 1.053, 0.5, 0.5, 0, 0.005, 0.047, 0.188, 0.265, 0.499, 0.236, 0.01, 0.98, 0.2, 0.8, 0, 0.1, 0.8
40.png, 1.611, 1.316, 0.051, 0.031, 0.015, 0.021, 0.0368, 0.22, 0.005, 0.99, 0.005, 0.2385, 0.523, 0.4, 0.6, 0, 0.075, 0.85
44.png, 0.167, 0.316, 0.268, 0.1725, 0.041, 0.015, 0.138, 0.138, 0.199, 0.629, 0.172, 0.1285, 0.743, 0.13, 0.87, 0, 0.1285, 0.743
50.png, 0.167, 0.263, 0.298, 0.165, 0.041, 0.016, 0.161, 0.161, 0.089, 0.669, 0.242, 0.1285, 0.743, 0.1, 0.9, 0, 0.1, 0.8
test1.png, 0.167, 0.421, 0.234, 0.1885, 0.011, 0.036, 0.103, 0.103, 0.226, 0.62, 0.154, 0.23, 0.54, 0.176, 0.74, 0.084, 0.23, 0.54
test4.png, 0.167, 0.211, 0.211, 0.197, 0.001, 0.041, 0.183, 0.183, 0.176, 0.53, 0.294, 0.23, 0.54, 0.136, 0.73, 0.134, 0.23, 0.54
